"","GEOID","count","area","density"
"2133","36061006200",545,3167924.51301575,0.000172036927572235
"2134","36047056302",1,2050580.93548584,4.87666681521679e-07
"2135","36081103201",7,4311264.86761475,1.62365343233315e-06
"2136","36081103202",5,7674612.92871094,6.51498654908687e-07
"2137","36005004100",7,1977775.59104919,3.53932975595405e-06
"2138","36005004300",8,2441015.71333313,3.27732425330284e-06
"2139","36047095400",1,2551621.36364746,3.91907676525538e-07
"2140","36047096000",6,4573358.07861328,1.31194625412303e-06
"2141","36047057901",7,2643877.27505493,2.64762667543053e-06
"2142","36047057902",9,5305860.84347534,1.69623747503054e-06
"2143","36047099600",2,2043770.09359741,9.78583651001387e-07
"2144","36047099800",0,4644538.18502808,0
"2145","36081017101",42,8783519.11424255,4.78168254132864e-06
"2146","36081017102",11,4500282.28948975,2.44429111162429e-06
"2147","36061010602",372,1336810.85258484,0.000278274222026778
"2148","36061011600",271,2117552.78541565,0.00012797791954301
"2149","36061011401",12,1060696.27737427,1.13133233857535e-05
"2150","36005023800",5,3659519.69602966,1.3662995188753e-06
"2151","36005024000",59,2572874.3449707,2.29315512882818e-05
"2152","36061004200",12,930411.44241333,1.28975197992772e-05
"2153","36061005700",3,1159594.63237,2.58711097503836e-06
"2154","36061028700",96,5714373.20225525,1.67997427893076e-05
"2155","36061029100",5,2018094.02275085,2.4775852579874e-06
"2156","36081099100",230,11676804.9409332,1.96971689741713e-05
"2157","36081099705",353,4729639.52253723,7.46357091947321e-05
"2158","36005033500",56,7482828.81462097,7.48380076403453e-06
"2159","36005035100",17,6238571.75149536,2.72498268468663e-06
"2160","36061023802",0,2581841.47984314,0
"2161","36061023803",0,1105145.47544861,0
"2162","36085001800",932,9867188.15164185,9.44544672379557e-05
"2163","36005011800",92,10849985.4795227,8.47927402056276e-06
"2164","36005013800",253,8319829.06768799,3.04092785971511e-05
"2165","36085002002",107,8280054.59802246,1.29226201027171e-05
"2166","36061001501",572,2955553.33207703,0.000193533980183002
"2167","36061002901",64,1561370.41706848,4.09896327613033e-05
"2168","36061002700",2,641389.79548645,3.11822859371053e-06
